Name,Type
Communication,Soft Skills
Research & Data Analysis,Soft Skills
Adaptability,Soft Skills
Teamwork & Collaboration,Soft Skills
Public Speaking,Soft Skills
Emotional Intelligence (EQ),Soft Skills
Tolerance,Soft Skills
Microsoft Excel,Tools
Canva,Tools
Python,programming language
SQLyog,Tools
PHP,programming language
English,Language
JavaScript,programming language
Rapidminer,Tools
Antigravity,Tools
,
DBeaver,Tools
Data Analytic,Hard Skills
Data Entry,Hard Skills
Data Specialist,Hard Skills
Web Developer,Hard Skills
Microsoft Word,Tools
Visual Studio Code,Tools
Figma,Tools
Indonesian,Language
